image_path,mask_path,label,split
benign/benign (213).png,benign/benign (213)_mask.png,Benign,train
benign/benign (214).png,benign/benign (214)_mask.png,Benign,val
benign/benign (215).png,benign/benign (215)_mask.png,Benign,train
benign/benign (216).png,benign/benign (216)_mask.png,Benign,test
benign/benign (217).png,benign/benign (217)_mask.png,Benign,train
benign/benign (218).png,benign/benign (218)_mask.png,Benign,train
benign/benign (219).png,benign/benign (219)_mask.png,Benign,train
benign/benign (22).png,benign/benign (22)_mask.png,Benign,test
benign/benign (220).png,benign/benign (220)_mask.png,Benign,val
benign/benign (221).png,benign/benign (221)_mask.png,Benign,train
benign/benign (222).png,benign/benign (222)_mask.png,Benign,train
benign/benign (223).png,benign/benign (223)_mask.png,Benign,test
benign/benign (224).png,benign/benign (224)_mask.png,Benign,train
benign/benign (225).png,benign/benign (225)_mask.png,Benign,train
benign/benign (226).png,benign/benign (226)_mask.png,Benign,train
benign/benign (227).png,benign/benign (227)_mask.png,Benign,train
benign/benign (228).png,benign/benign (228)_mask.png,Benign,train
benign/benign (229).png,benign/benign (229)_mask.png,Benign,train
benign/benign (23).png,benign/benign (23)_mask.png,Benign,train
benign/benign (230).png,benign/benign (230)_mask.png,Benign,train
benign/benign (231).png,benign/benign (231)_mask.png,Benign,train
benign/benign (232).png,benign/benign (232)_mask.png,Benign,train
benign/benign (233).png,benign/benign (233)_mask.png,Benign,val
benign/benign (234).png,benign/benign (234)_mask.png,Benign,train
benign/benign (235).png,benign/benign (235)_mask.png,Benign,val
benign/benign (236).png,benign/benign (236)_mask.png,Benign,train
benign/benign (237).png,benign/benign (237)_mask.png,Benign,train
benign/benign (238).png,benign/benign (238)_mask.png,Benign,train
benign/benign (239).png,benign/benign (239)_mask.png,Benign,train
benign/benign (24).png,benign/benign (24)_mask.png,Benign,val
benign/benign (240).png,benign/benign (240)_mask.png,Benign,train
benign/benign (241).png,benign/benign (241)_mask.png,Benign,train
benign/benign (242).png,benign/benign (242)_mask.png,Benign,train
benign/benign (243).png,benign/benign (243)_mask.png,Benign,val
benign/benign (244).png,benign/benign (244)_mask.png,Benign,test
benign/benign (245).png,benign/benign (245)_mask.png,Benign,val
benign/benign (246).png,benign/benign (246)_mask.png,Benign,train
benign/benign (247).png,benign/benign (247)_mask.png,Benign,train
benign/benign (248).png,benign/benign (248)_mask.png,Benign,train
benign/benign (249).png,benign/benign (249)_mask.png,Benign,test
benign/benign (25).png,benign/benign (25)_mask.png,Benign,train
benign/benign (250).png,benign/benign (250)_mask.png,Benign,train
benign/benign (251).png,benign/benign (251)_mask.png,Benign,val
benign/benign (252).png,benign/benign (252)_mask.png,Benign,train
benign/benign (253).png,benign/benign (253)_mask.png,Benign,test
benign/benign (254).png,benign/benign (254)_mask.png,Benign,train
benign/benign (255).png,benign/benign (255)_mask.png,Benign,train
benign/benign (256).png,benign/benign (256)_mask.png,Benign,test
benign/benign (257).png,benign/benign (257)_mask.png,Benign,train
benign/benign (258).png,benign/benign (258)_mask.png,Benign,train
benign/benign (259).png,benign/benign (259)_mask.png,Benign,train
benign/benign (26).png,benign/benign (26)_mask.png,Benign,train
benign/benign (260).png,benign/benign (260)_mask.png,Benign,train
benign/benign (261).png,benign/benign (261)_mask.png,Benign,train
benign/benign (262).png,benign/benign (262)_mask.png,Benign,train
benign/benign (263).png,benign/benign (263)_mask.png,Benign,train
benign/benign (264).png,benign/benign (264)_mask.png,Benign,train
benign/benign (265).png,benign/benign (265)_mask.png,Benign,train
benign/benign (266).png,benign/benign (266)_mask.png,Benign,train
benign/benign (267).png,benign/benign (267)_mask.png,Benign,train
benign/benign (268).png,benign/benign (268)_mask.png,Benign,test
benign/benign (269).png,benign/benign (269)_mask.png,Benign,val
benign/benign (27).png,benign/benign (27)_mask.png,Benign,test
benign/benign (270).png,benign/benign (270)_mask.png,Benign,val
benign/benign (271).png,benign/benign (271)_mask.png,Benign,val
benign/benign (272).png,benign/benign (272)_mask.png,Benign,train
benign/benign (273).png,benign/benign (273)_mask.png,Benign,train
benign/benign (274).png,benign/benign (274)_mask.png,Benign,train
benign/benign (275).png,benign/benign (275)_mask.png,Benign,train
benign/benign (276).png,benign/benign (276)_mask.png,Benign,train
benign/benign (277).png,benign/benign (277)_mask.png,Benign,train
benign/benign (278).png,benign/benign (278)_mask.png,Benign,train
benign/benign (279).png,benign/benign (279)_mask.png,Benign,train
benign/benign (28).png,benign/benign (28)_mask.png,Benign,test
benign/benign (280).png,benign/benign (280)_mask.png,Benign,test
benign/benign (281).png,benign/benign (281)_mask.png,Benign,train
benign/benign (282).png,benign/benign (282)_mask.png,Benign,train
benign/benign (283).png,benign/benign (283)_mask.png,Benign,train
benign/benign (284).png,benign/benign (284)_mask.png,Benign,val
benign/benign (285).png,benign/benign (285)_mask.png,Benign,train
benign/benign (286).png,benign/benign (286)_mask.png,Benign,test
benign/benign (287).png,benign/benign (287)_mask.png,Benign,train
benign/benign (288).png,benign/benign (288)_mask.png,Benign,train
benign/benign (289).png,benign/benign (289)_mask.png,Benign,train
benign/benign (29).png,benign/benign (29)_mask.png,Benign,train
benign/benign (290).png,benign/benign (290)_mask.png,Benign,test
benign/benign (291).png,benign/benign (291)_mask.png,Benign,test
benign/benign (292).png,benign/benign (292)_mask.png,Benign,val
benign/benign (293).png,benign/benign (293)_mask.png,Benign,test
benign/benign (294).png,benign/benign (294)_mask.png,Benign,test
benign/benign (295).png,benign/benign (295)_mask.png,Benign,val
benign/benign (296).png,benign/benign (296)_mask.png,Benign,train
benign/benign (297).png,benign/benign (297)_mask.png,Benign,train
benign/benign (298).png,benign/benign (298)_mask.png,Benign,train
benign/benign (299).png,benign/benign (299)_mask.png,Benign,train
benign/benign (3).png,benign/benign (3)_mask.png,Benign,train
benign/benign (30).png,benign/benign (30)_mask.png,Benign,train
benign/benign (300).png,benign/benign (300)_mask.png,Benign,train
benign/benign (301).png,benign/benign (301)_mask.png,Benign,train
benign/benign (302).png,benign/benign (302)_mask.png,Benign,val
benign/benign (303).png,benign/benign (303)_mask.png,Benign,train
benign/benign (304).png,benign/benign (304)_mask.png,Benign,train
benign/benign (305).png,benign/benign (305)_mask.png,Benign,train
benign/benign (306).png,benign/benign (306)_mask.png,Benign,val
benign/benign (307).png,benign/benign (307)_mask.png,Benign,train
benign/benign (308).png,benign/benign (308)_mask.png,Benign,train
benign/benign (309).png,benign/benign (309)_mask.png,Benign,train
benign/benign (31).png,benign/benign (31)_mask.png,Benign,train
benign/benign (310).png,benign/benign (310)_mask.png,Benign,test
benign/benign (311).png,benign/benign (311)_mask.png,Benign,test
benign/benign (312).png,benign/benign (312)_mask.png,Benign,train
benign/benign (313).png,benign/benign (313)_mask.png,Benign,train
benign/benign (314).png,benign/benign (314)_mask.png,Benign,train
benign/benign (315).png,benign/benign (315)_mask.png,Benign,train
benign/benign (316).png,benign/benign (316)_mask.png,Benign,val
benign/benign (317).png,benign/benign (317)_mask.png,Benign,train
benign/benign (318).png,benign/benign (318)_mask.png,Benign,val
benign/benign (319).png,benign/benign (319)_mask.png,Benign,train
benign/benign (32).png,benign/benign (32)_mask.png,Benign,train
benign/benign (320).png,benign/benign (320)_mask.png,Benign,train
benign/benign (321).png,benign/benign (321)_mask.png,Benign,train
benign/benign (322).png,benign/benign (322)_mask.png,Benign,train
benign/benign (323).png,benign/benign (323)_mask.png,Benign,train
benign/benign (324).png,benign/benign (324)_mask.png,Benign,train
benign/benign (325).png,benign/benign (325)_mask.png,Benign,val
benign/benign (326).png,benign/benign (326)_mask.png,Benign,val
benign/benign (327).png,benign/benign (327)_mask.png,Benign,train
benign/benign (328).png,benign/benign (328)_mask.png,Benign,train
benign/benign (329).png,benign/benign (329)_mask.png,Benign,train
benign/benign (33).png,benign/benign (33)_mask.png,Benign,test
benign/benign (330).png,benign/benign (330)_mask.png,Benign,test
benign/benign (331).png,benign/benign (331)_mask.png,Benign,train
benign/benign (332).png,benign/benign (332)_mask.png,Benign,val
benign/benign (333).png,benign/benign (333)_mask.png,Benign,test
benign/benign (334).png,benign/benign (334)_mask.png,Benign,train
benign/benign (335).png,benign/benign (335)_mask.png,Benign,train
benign/benign (336).png,benign/benign (336)_mask.png,Benign,test
benign/benign (337).png,benign/benign (337)_mask.png,Benign,val
benign/benign (338).png,benign/benign (338)_mask.png,Benign,train
benign/benign (339).png,benign/benign (339)_mask.png,Benign,train
benign/benign (34).png,benign/benign (34)_mask.png,Benign,val
benign/benign (340).png,benign/benign (340)_mask.png,Benign,train
benign/benign (341).png,benign/benign (341)_mask.png,Benign,val
benign/benign (342).png,benign/benign (342)_mask.png,Benign,val
benign/benign (343).png,benign/benign (343)_mask.png,Benign,train
benign/benign (344).png,benign/benign (344)_mask.png,Benign,train
benign/benign (345).png,benign/benign (345)_mask.png,Benign,test
benign/benign (346).png,benign/benign (346)_mask.png,Benign,train
benign/benign (347).png,benign/benign (347)_mask.png,Benign,train
benign/benign (348).png,benign/benign (348)_mask.png,Benign,val
benign/benign (349).png,benign/benign (349)_mask.png,Benign,train
benign/benign (35).png,benign/benign (35)_mask.png,Benign,train
benign/benign (350).png,benign/benign (350)_mask.png,Benign,test
benign/benign (351).png,benign/benign (351)_mask.png,Benign,train
benign/benign (352).png,benign/benign (352)_mask.png,Benign,train
benign/benign (353).png,benign/benign (353)_mask.png,Benign,train
benign/benign (354).png,benign/benign (354)_mask.png,Benign,train
benign/benign (355).png,benign/benign (355)_mask.png,Benign,train
benign/benign (356).png,benign/benign (356)_mask.png,Benign,train
benign/benign (357).png,benign/benign (357)_mask.png,Benign,train
benign/benign (358).png,benign/benign (358)_mask.png,Benign,train
benign/benign (359).png,benign/benign (359)_mask.png,Benign,val
benign/benign (36).png,benign/benign (36)_mask.png,Benign,train
benign/benign (360).png,benign/benign (360)_mask.png,Benign,train
benign/benign (361).png,benign/benign (361)_mask.png,Benign,train
benign/benign (362).png,benign/benign (362)_mask.png,Benign,test
benign/benign (363).png,benign/benign (363)_mask.png,Benign,val
benign/benign (364).png,benign/benign (364)_mask.png,Benign,train
benign/benign (365).png,benign/benign (365)_mask.png,Benign,val
benign/benign (366).png,benign/benign (366)_mask.png,Benign,train
benign/benign (367).png,benign/benign (367)_mask.png,Benign,train
benign/benign (368).png,benign/benign (368)_mask.png,Benign,train
benign/benign (369).png,benign/benign (369)_mask.png,Benign,train
benign/benign (37).png,benign/benign (37)_mask.png,Benign,val
benign/benign (370).png,benign/benign (370)_mask.png,Benign,train
benign/benign (371).png,benign/benign (371)_mask.png,Benign,train
benign/benign (372).png,benign/benign (372)_mask.png,Benign,test
benign/benign (373).png,benign/benign (373)_mask.png,Benign,train
benign/benign (374).png,benign/benign (374)_mask.png,Benign,train
benign/benign (375).png,benign/benign (375)_mask.png,Benign,val
benign/benign (376).png,benign/benign (376)_mask.png,Benign,train
benign/benign (377).png,benign/benign (377)_mask.png,Benign,val
benign/benign (378).png,benign/benign (378)_mask.png,Benign,val
benign/benign (379).png,benign/benign (379)_mask.png,Benign,train
benign/benign (38).png,benign/benign (38)_mask.png,Benign,train
benign/benign (380).png,benign/benign (380)_mask.png,Benign,train
benign/benign (381).png,benign/benign (381)_mask.png,Benign,val
benign/benign (382).png,benign/benign (382)_mask.png,Benign,train
benign/benign (383).png,benign/benign (383)_mask.png,Benign,test
benign/benign (384).png,benign/benign (384)_mask.png,Benign,train
benign/benign (385).png,benign/benign (385)_mask.png,Benign,train
benign/benign (386).png,benign/benign (386)_mask.png,Benign,train
benign/benign (387).png,benign/benign (387)_mask.png,Benign,val
benign/benign (388).png,benign/benign (388)_mask.png,Benign,train
benign/benign (389).png,benign/benign (389)_mask.png,Benign,train
benign/benign (39).png,benign/benign (39)_mask.png,Benign,train
benign/benign (390).png,benign/benign (390)_mask.png,Benign,train
benign/benign (391).png,benign/benign (391)_mask.png,Benign,train
benign/benign (392).png,benign/benign (392)_mask.png,Benign,train
benign/benign (393).png,benign/benign (393)_mask.png,Benign,val
benign/benign (394).png,benign/benign (394)_mask.png,Benign,train
benign/benign (395).png,benign/benign (395)_mask.png,Benign,test
benign/benign (396).png,benign/benign (396)_mask.png,Benign,train
benign/benign (397).png,benign/benign (397)_mask.png,Benign,test
benign/benign (398).png,benign/benign (398)_mask.png,Benign,train
benign/benign (399).png,benign/benign (399)_mask.png,Benign,train
benign/benign (4).png,benign/benign (4)_mask.png,Benign,train
benign/benign (40).png,benign/benign (40)_mask.png,Benign,train
benign/benign (400).png,benign/benign (400)_mask.png,Benign,train
benign/benign (401).png,benign/benign (401)_mask.png,Benign,train
benign/benign (402).png,benign/benign (402)_mask.png,Benign,val
benign/benign (403).png,benign/benign (403)_mask.png,Benign,train
benign/benign (404).png,benign/benign (404)_mask.png,Benign,test
benign/benign (405).png,benign/benign (405)_mask.png,Benign,train
benign/benign (406).png,benign/benign (406)_mask.png,Benign,val
benign/benign (407).png,benign/benign (407)_mask.png,Benign,train
benign/benign (408).png,benign/benign (408)_mask.png,Benign,val
benign/benign (409).png,benign/benign (409)_mask.png,Benign,val
benign/benign (41).png,benign/benign (41)_mask.png,Benign,test
benign/benign (410).png,benign/benign (410)_mask.png,Benign,train
benign/benign (411).png,benign/benign (411)_mask.png,Benign,train
benign/benign (412).png,benign/benign (412)_mask.png,Benign,test
benign/benign (413).png,benign/benign (413)_mask.png,Benign,train
benign/benign (414).png,benign/benign (414)_mask.png,Benign,val
benign/benign (415).png,benign/benign (415)_mask.png,Benign,train
benign/benign (416).png,benign/benign (416)_mask.png,Benign,train
benign/benign (417).png,benign/benign (417)_mask.png,Benign,test
benign/benign (418).png,benign/benign (418)_mask.png,Benign,train
benign/benign (419).png,benign/benign (419)_mask.png,Benign,train
benign/benign (42).png,benign/benign (42)_mask.png,Benign,train
benign/benign (420).png,benign/benign (420)_mask.png,Benign,train
benign/benign (421).png,benign/benign (421)_mask.png,Benign,train
benign/benign (422).png,benign/benign (422)_mask.png,Benign,val
benign/benign (423).png,benign/benign (423)_mask.png,Benign,train
benign/benign (424).png,benign/benign (424)_mask.png,Benign,train
benign/benign (425).png,benign/benign (425)_mask.png,Benign,test
benign/benign (426).png,benign/benign (426)_mask.png,Benign,test
benign/benign (427).png,benign/benign (427)_mask.png,Benign,train
benign/benign (428).png,benign/benign (428)_mask.png,Benign,train
benign/benign (429).png,benign/benign (429)_mask.png,Benign,test
benign/benign (43).png,benign/benign (43)_mask.png,Benign,train
benign/benign (430).png,benign/benign (430)_mask.png,Benign,train
benign/benign (431).png,benign/benign (431)_mask.png,Benign,train
benign/benign (432).png,benign/benign (432)_mask.png,Benign,train
benign/benign (433).png,benign/benign (433)_mask.png,Benign,test
benign/benign (434).png,benign/benign (434)_mask.png,Benign,val
benign/benign (435).png,benign/benign (435)_mask.png,Benign,test
benign/benign (436).png,benign/benign (436)_mask.png,Benign,train
benign/benign (437).png,benign/benign (437)_mask.png,Benign,train
benign/benign (44).png,benign/benign (44)_mask.png,Benign,train
benign/benign (45).png,benign/benign (45)_mask.png,Benign,train
benign/benign (46).png,benign/benign (46)_mask.png,Benign,test
benign/benign (47).png,benign/benign (47)_mask.png,Benign,train
benign/benign (48).png,benign/benign (48)_mask.png,Benign,train
benign/benign (49).png,benign/benign (49)_mask.png,Benign,train
benign/benign (5).png,benign/benign (5)_mask.png,Benign,train
benign/benign (50).png,benign/benign (50)_mask.png,Benign,train
benign/benign (51).png,benign/benign (51)_mask.png,Benign,train
benign/benign (52).png,benign/benign (52)_mask.png,Benign,val
benign/benign (53).png,benign/benign (53)_mask.png,Benign,train
benign/benign (54).png,benign/benign (54)_mask.png,Benign,train
benign/benign (55).png,benign/benign (55)_mask.png,Benign,train
benign/benign (56).png,benign/benign (56)_mask.png,Benign,val
benign/benign (57).png,benign/benign (57)_mask.png,Benign,train
benign/benign (58).png,benign/benign (58)_mask.png,Benign,val
benign/benign (59).png,benign/benign (59)_mask.png,Benign,train
benign/benign (6).png,benign/benign (6)_mask.png,Benign,train
benign/benign (60).png,benign/benign (60)_mask.png,Benign,train
benign/benign (61).png,benign/benign (61)_mask.png,Benign,train
benign/benign (62).png,benign/benign (62)_mask.png,Benign,train
benign/benign (63).png,benign/benign (63)_mask.png,Benign,train
benign/benign (64).png,benign/benign (64)_mask.png,Benign,test
benign/benign (65).png,benign/benign (65)_mask.png,Benign,val
benign/benign (66).png,benign/benign (66)_mask.png,Benign,test
benign/benign (67).png,benign/benign (67)_mask.png,Benign,train
benign/benign (68).png,benign/benign (68)_mask.png,Benign,train
benign/benign (69).png,benign/benign (69)_mask.png,Benign,train
benign/benign (7).png,benign/benign (7)_mask.png,Benign,train
benign/benign (70).png,benign/benign (70)_mask.png,Benign,train
benign/benign (71).png,benign/benign (71)_mask.png,Benign,train
benign/benign (72).png,benign/benign (72)_mask.png,Benign,train
benign/benign (73).png,benign/benign (73)_mask.png,Benign,train
benign/benign (74).png,benign/benign (74)_mask.png,Benign,train
benign/benign (75).png,benign/benign (75)_mask.png,Benign,train
benign/benign (76).png,benign/benign (76)_mask.png,Benign,train
benign/benign (77).png,benign/benign (77)_mask.png,Benign,train
benign/benign (78).png,benign/benign (78)_mask.png,Benign,test
benign/benign (79).png,benign/benign (79)_mask.png,Benign,train
benign/benign (8).png,benign/benign (8)_mask.png,Benign,train
benign/benign (80).png,benign/benign (80)_mask.png,Benign,train
benign/benign (81).png,benign/benign (81)_mask.png,Benign,train
benign/benign (82).png,benign/benign (82)_mask.png,Benign,train
benign/benign (83).png,benign/benign (83)_mask.png,Benign,val
benign/benign (84).png,benign/benign (84)_mask.png,Benign,train
benign/benign (85).png,benign/benign (85)_mask.png,Benign,test
benign/benign (86).png,benign/benign (86)_mask.png,Benign,train
benign/benign (87).png,benign/benign (87)_mask.png,Benign,train
benign/benign (88).png,benign/benign (88)_mask.png,Benign,train
benign/benign (89).png,benign/benign (89)_mask.png,Benign,train
benign/benign (9).png,benign/benign (9)_mask.png,Benign,test
benign/benign (90).png,benign/benign (90)_mask.png,Benign,train
benign/benign (91).png,benign/benign (91)_mask.png,Benign,train
benign/benign (92).png,benign/benign (92)_mask.png,Benign,val
benign/benign (93).png,benign/benign (93)_mask.png,Benign,train
benign/benign (94).png,benign/benign (94)_mask.png,Benign,train
benign/benign (95).png,benign/benign (95)_mask.png,Benign,train
benign/benign (96).png,benign/benign (96)_mask.png,Benign,val
benign/benign (97).png,benign/benign (97)_mask.png,Benign,train
benign/benign (98).png,benign/benign (98)_mask.png,Benign,test
benign/benign (99).png,benign/benign (99)_mask.png,Benign,val
malignant/malignant (1).png,malignant/malignant (1)_mask.png,Malignant,test
malignant/malignant (10).png,malignant/malignant (10)_mask.png,Malignant,test
malignant/malignant (100).png,malignant/malignant (100)_mask.png,Malignant,train
malignant/malignant (101).png,malignant/malignant (101)_mask.png,Malignant,val
malignant/malignant (102).png,malignant/malignant (102)_mask.png,Malignant,train
malignant/malignant (103).png,malignant/malignant (103)_mask.png,Malignant,train
malignant/malignant (104).png,malignant/malignant (104)_mask.png,Malignant,train
malignant/malignant (105).png,malignant/malignant (105)_mask.png,Malignant,train
malignant/malignant (106).png,malignant/malignant (106)_mask.png,Malignant,train
malignant/malignant (107).png,malignant/malignant (107)_mask.png,Malignant,val
malignant/malignant (108).png,malignant/malignant (108)_mask.png,Malignant,train
malignant/malignant (109).png,malignant/malignant (109)_mask.png,Malignant,val
malignant/malignant (11).png,malignant/malignant (11)_mask.png,Malignant,train
malignant/malignant (110).png,malignant/malignant (110)_mask.png,Malignant,train
malignant/malignant (111).png,malignant/malignant (111)_mask.png,Malignant,train
malignant/malignant (112).png,malignant/malignant (112)_mask.png,Malignant,test
malignant/malignant (113).png,malignant/malignant (113)_mask.png,Malignant,train
malignant/malignant (114).png,malignant/malignant (114)_mask.png,Malignant,train
malignant/malignant (115).png,malignant/malignant (115)_mask.png,Malignant,train
malignant/malignant (116).png,malignant/malignant (116)_mask.png,Malignant,train
malignant/malignant (117).png,malignant/malignant (117)_mask.png,Malignant,train
malignant/malignant (118).png,malignant/malignant (118)_mask.png,Malignant,val
malignant/malignant (119).png,malignant/malignant (119)_mask.png,Malignant,val
malignant/malignant (12).png,malignant/malignant (12)_mask.png,Malignant,val
